name,category,location,phone,email,google_maps_url,rating,reviews,notes,status,contacted_date,response
Taqueria Panchito,Mexican Restaurant,6531 Midlothian Tpke Richmond VA 23225,(804) 447-1003,Bg.javier02@gmail.com,,4.5,200+,Has Facebook only - no website. Authentic Mexican. Great reviews on Yelp.,ready,,
Taqueria El Diamante,Mexican Restaurant,5511 Chesterfield Dr Richmond VA 23224,(804) 489-3914,,,5.0,30+,On Yelp/DoorDash only - no real website. Birria tacos al pastor tortas.,ready,,
Chung's Barber Shop,Barber,8800 Landmark Rd Richmond VA 23228,(804) 508-8165,,,4.5,22+,Only on Yelp/Fresha - no website. Affordable cuts quick service. Cash only.,ready,,
Kweleme Mobile Mechanic,Auto Repair,Richmond VA 23223,(804) 901-4104,,,5.0,16+,Mobile mechanic - only on Yelp. Great opportunity for simple booking site.,ready,,
Avalon Nail Salon,Nail Salon,11800 W Broad St Ste 1516 Richmond VA 23233,(804) 364-9388,,,4.0,15+,Unclaimed Yelp. Only mall directory listing - no real website.,ready,,
VA Nails & Hair Salon,Nail Salon,9200 Stony Point Pkwy Ste 155 Richmond VA 23235,(804) 330-3616,,,4.5,24+,On Yelp only. Good reviews. Needs website.,ready,,
Haulin Balls RVA,Food Truck,Richmond VA,,,,,20+,Only has Instagram @haulinballsrva. Popular food truck - no website.,ready,,
Mama Vicky's Lumpia,Food Truck,Richmond VA 23230,(804) 940-0352,,,4.5,15+,Filipino cuisine food truck. On Yelp only - no website. Growing following.,ready,,
Hudson Services,Handyman,Richmond VA 23234,(845) 401-8108,,,5.0,5+,Appliance installer + handyman. Started 2023. Only has basic Jobber template site.,ready,,
Affordable Lawn Care Service,Landscaping,Richmond VA,,,,,10+,Lawn mowing landscaping fertilization. Only on Yelp - no website.,ready,,
Greene's Lawn Care,Landscaping,Richmond VA,,,,,5+,Only has Facebook page. Affordable lawn care. Growing.,ready,,
Stepping Stone Landscaping,Landscaping,Rockville VA,,,,,15+,Est 2017. Quality lawn care. Check if has website.,new,,
Corbetts Handyman and Plumbing,Handyman/Plumbing,Richmond VA,,,,,10+,20+ years experience. On Yelp. Check for website.,new,,
Muhaimen's Barber Shop,Barber,1127 Gaskins Rd Ste 400 Richmond VA 23238,(804) 982-0931,,,4.5,150+,High reviews. Verify website status.,new,,
Harvey's Barber Shop,Barber,1134 N 25th St Richmond VA 23223,,,,,2+,Old school barber - likely no website. Need phone.,new,,
Taylor's Barbershop,Barber,115 W Broad St Ste B Richmond VA 23220,,,,,70+,42 reviews on Yelp. Check if has website.,new,,
Taqueria Habaneros,Mexican Restaurant,Quiocassin Rd Richmond VA,,,,,, Mentioned on Reddit as great spot. Need to verify details.,new,,
